normalized_url,kind,best_statuscode,best_mimetype,best_timestamp,best_original,best_wayback_url,fetch_url,content_candidate,reason,destination_hint,redirect_candidate,downloaded,cache_hit,final_url,final_normalized_url,final_kind,final_destination_hint,error
http://ikttips.skolbloggen.se/,homepage,200,text/html,20170924001045,http://ikttips.skolbloggen.se:80/,https://web.archive.org/web/20170924001045/http://ikttips.skolbloggen.se:80/,https://web.archive.org/web/20170924001045id_/http://ikttips.skolbloggen.se:80/,True,html-content,index.html,False,True,True,https://web.archive.org/web/20170924001045id_/http://ikttips.skolbloggen.se:80/,http://ikttips.skolbloggen.se/,homepage,index.html,
http://ikttips.skolbloggen.se/2010/10/,other,200,text/html,20170924125905,http://ikttips.skolbloggen.se:80/2010/10/,https://web.archive.org/web/20170924125905/http://ikttips.skolbloggen.se:80/2010/10/,https://web.archive.org/web/20170924125905id_/http://ikttips.skolbloggen.se:80/2010/10/,True,html-content,2010/10/index.html,False,True,True,https://web.archive.org/web/20170924125905id_/http://ikttips.skolbloggen.se:80/2010/10/,http://ikttips.skolbloggen.se/2010/10/,other,2010/10/index.html,
http://ikttips.skolbloggen.se/2010/11/,other,200,text/html,20170924125452,http://ikttips.skolbloggen.se:80/2010/11/,https://web.archive.org/web/20170924125452/http://ikttips.skolbloggen.se:80/2010/11/,https://web.archive.org/web/20170924125452id_/http://ikttips.skolbloggen.se:80/2010/11/,True,html-content,2010/11/index.html,False,True,True,https://web.archive.org/web/20170924125452id_/http://ikttips.skolbloggen.se:80/2010/11/,http://ikttips.skolbloggen.se/2010/11/,other,2010/11/index.html,
http://ikttips.skolbloggen.se/2010/12/,other,200,text/html,20170924125457,http://ikttips.skolbloggen.se:80/2010/12/,https://web.archive.org/web/20170924125457/http://ikttips.skolbloggen.se:80/2010/12/,https://web.archive.org/web/20170924125457id_/http://ikttips.skolbloggen.se:80/2010/12/,True,html-content,2010/12/index.html,False,True,True,https://web.archive.org/web/20170924125457id_/http://ikttips.skolbloggen.se:80/2010/12/,http://ikttips.skolbloggen.se/2010/12/,other,2010/12/index.html,
http://ikttips.skolbloggen.se/2010/12/02/vad-menas-med-molnet-2/,post_like,200,text/html,20171009235232,http://ikttips.skolbloggen.se:80/2010/12/02/vad-menas-med-molnet-2/,https://web.archive.org/web/20171009235232/http://ikttips.skolbloggen.se:80/2010/12/02/vad-menas-med-molnet-2/,https://web.archive.org/web/20171009235232id_/http://ikttips.skolbloggen.se:80/2010/12/02/vad-menas-med-molnet-2/,True,html-content,2010/12/02/vad-menas-med-molnet-2/index.html,False,True,True,https://web.archive.org/web/20171009235232id_/http://ikttips.skolbloggen.se:80/2010/12/02/vad-menas-med-molnet-2/,http://ikttips.skolbloggen.se/2010/12/02/vad-menas-med-molnet-2/,post_like,2010/12/02/vad-menas-med-molnet-2/index.html,
http://ikttips.skolbloggen.se/2011/01/,other,200,text/html,20170924125502,http://ikttips.skolbloggen.se:80/2011/01/,https://web.archive.org/web/20170924125502/http://ikttips.skolbloggen.se:80/2011/01/,https://web.archive.org/web/20170924125502id_/http://ikttips.skolbloggen.se:80/2011/01/,True,html-content,2011/01/index.html,False,True,False,https://web.archive.org/web/20170924125502id_/http://ikttips.skolbloggen.se:80/2011/01/,http://ikttips.skolbloggen.se/2011/01/,other,2011/01/index.html,
http://ikttips.skolbloggen.se/2011/01/11/gapminder/,post_like,200,text/html,20170924001911,http://ikttips.skolbloggen.se:80/2011/01/11/gapminder/,https://web.archive.org/web/20170924001911/http://ikttips.skolbloggen.se:80/2011/01/11/gapminder/,https://web.archive.org/web/20170924001911id_/http://ikttips.skolbloggen.se:80/2011/01/11/gapminder/,True,html-content,2011/01/11/gapminder/index.html,False,True,False,https://web.archive.org/web/20170924001911id_/http://ikttips.skolbloggen.se:80/2011/01/11/gapminder/,http://ikttips.skolbloggen.se/2011/01/11/gapminder/,post_like,2011/01/11/gapminder/index.html,
http://ikttips.skolbloggen.se/2011/01/21/kallhanvisningar-till-bilder,post_like,301,text/html,20171022193841,http://ikttips.skolbloggen.se:80/2011/01/21/kallhanvisningar-till-bilder,https://web.archive.org/web/20171022193841/http://ikttips.skolbloggen.se:80/2011/01/21/kallhanvisningar-till-bilder,https://web.archive.org/web/20171022193841/http://ikttips.skolbloggen.se:80/2011/01/21/kallhanvisningar-till-bilder,True,redirect:301,2011/01/21/kallhanvisningar-till-bilder/index.html,True,True,False,https://web.archive.org/web/20171022193841/http://ikttips.skolbloggen.se:80/2011/01/21/kallhanvisningar-till-bilder,http://ikttips.skolbloggen.se/2011/01/21/kallhanvisningar-till-bilder,post_like,2011/01/21/kallhanvisningar-till-bilder/index.html,
http://ikttips.skolbloggen.se/2011/01/21/kallhanvisningar-till-bilder/,post_like,200,text/html,20171022193841,http://ikttips.skolbloggen.se:80/2011/01/21/kallhanvisningar-till-bilder/,https://web.archive.org/web/20171022193841/http://ikttips.skolbloggen.se:80/2011/01/21/kallhanvisningar-till-bilder/,https://web.archive.org/web/20171022193841id_/http://ikttips.skolbloggen.se:80/2011/01/21/kallhanvisningar-till-bilder/,True,html-content,2011/01/21/kallhanvisningar-till-bilder/index.html,False,True,False,https://web.archive.org/web/20171022193841id_/http://ikttips.skolbloggen.se:80/2011/01/21/kallhanvisningar-till-bilder/,http://ikttips.skolbloggen.se/2011/01/21/kallhanvisningar-till-bilder/,post_like,2011/01/21/kallhanvisningar-till-bilder/index.html,
http://ikttips.skolbloggen.se/2011/01/21/kallhanvisningar-till-bilder/feed/,feed,200,application/rss+xml,20170924001745,http://ikttips.skolbloggen.se:80/2011/01/21/kallhanvisningar-till-bilder/feed/,https://web.archive.org/web/20170924001745/http://ikttips.skolbloggen.se:80/2011/01/21/kallhanvisningar-till-bilder/feed/,https://web.archive.org/web/20170924001745id_/http://ikttips.skolbloggen.se:80/2011/01/21/kallhanvisningar-till-bilder/feed/,False,kind:feed,2011/01/21/kallhanvisningar-till-bilder/feed/index.html,False,False,False,,,,,
http://ikttips.skolbloggen.se/2011/01/29/kom-igang-med-skolbloggen-se/,post_like,200,text/html,20170924001751,http://ikttips.skolbloggen.se:80/2011/01/29/kom-igang-med-skolbloggen-se/,https://web.archive.org/web/20170924001751/http://ikttips.skolbloggen.se:80/2011/01/29/kom-igang-med-skolbloggen-se/,https://web.archive.org/web/20170924001751id_/http://ikttips.skolbloggen.se:80/2011/01/29/kom-igang-med-skolbloggen-se/,True,html-content,2011/01/29/kom-igang-med-skolbloggen-se/index.html,False,True,False,https://web.archive.org/web/20170924001751id_/http://ikttips.skolbloggen.se:80/2011/01/29/kom-igang-med-skolbloggen-se/,http://ikttips.skolbloggen.se/2011/01/29/kom-igang-med-skolbloggen-se/,post_like,2011/01/29/kom-igang-med-skolbloggen-se/index.html,
http://ikttips.skolbloggen.se/2011/02/,other,200,text/html,20170924123603,http://ikttips.skolbloggen.se:80/2011/02/,https://web.archive.org/web/20170924123603/http://ikttips.skolbloggen.se:80/2011/02/,https://web.archive.org/web/20170924123603id_/http://ikttips.skolbloggen.se:80/2011/02/,True,html-content,2011/02/index.html,False,True,False,https://web.archive.org/web/20170924123603id_/http://ikttips.skolbloggen.se:80/2011/02/,http://ikttips.skolbloggen.se/2011/02/,other,2011/02/index.html,
http://ikttips.skolbloggen.se/2011/02/24/anne-frank/,post_like,200,text/html,20120615010040,http://ikttips.skolbloggen.se:80/2011/02/24/anne-frank/,https://web.archive.org/web/20120615010040/http://ikttips.skolbloggen.se:80/2011/02/24/anne-frank/,https://web.archive.org/web/20120615010040id_/http://ikttips.skolbloggen.se:80/2011/02/24/anne-frank/,True,html-content,2011/02/24/anne-frank/index.html,False,True,False,https://web.archive.org/web/20120615010040id_/http://ikttips.skolbloggen.se:80/2011/02/24/anne-frank/,http://ikttips.skolbloggen.se/2011/02/24/anne-frank/,post_like,2011/02/24/anne-frank/index.html,
http://ikttips.skolbloggen.se/2011/03/,other,200,text/html,20170924125507,http://ikttips.skolbloggen.se:80/2011/03/,https://web.archive.org/web/20170924125507/http://ikttips.skolbloggen.se:80/2011/03/,https://web.archive.org/web/20170924125507id_/http://ikttips.skolbloggen.se:80/2011/03/,True,html-content,2011/03/index.html,False,True,False,https://web.archive.org/web/20170924125507id_/http://ikttips.skolbloggen.se:80/2011/03/,http://ikttips.skolbloggen.se/2011/03/,other,2011/03/index.html,
http://ikttips.skolbloggen.se/2011/03/01/tips-pa-digitala-resurser,post_like,301,text/html,20120904155816,http://ikttips.skolbloggen.se:80/2011/03/01/tips-pa-digitala-resurser,https://web.archive.org/web/20120904155816/http://ikttips.skolbloggen.se:80/2011/03/01/tips-pa-digitala-resurser,https://web.archive.org/web/20120904155816/http://ikttips.skolbloggen.se:80/2011/03/01/tips-pa-digitala-resurser,True,redirect:301,2011/03/01/tips-pa-digitala-resurser/index.html,True,True,False,https://web.archive.org/web/20120904155816/http://ikttips.skolbloggen.se:80/2011/03/01/tips-pa-digitala-resurser,http://ikttips.skolbloggen.se/2011/03/01/tips-pa-digitala-resurser,post_like,2011/03/01/tips-pa-digitala-resurser/index.html,
http://ikttips.skolbloggen.se/2011/03/01/tips-pa-digitala-resurser/,post_like,200,text/html,20120904155816,http://ikttips.skolbloggen.se:80/2011/03/01/tips-pa-digitala-resurser/,https://web.archive.org/web/20120904155816/http://ikttips.skolbloggen.se:80/2011/03/01/tips-pa-digitala-resurser/,https://web.archive.org/web/20120904155816id_/http://ikttips.skolbloggen.se:80/2011/03/01/tips-pa-digitala-resurser/,True,html-content,2011/03/01/tips-pa-digitala-resurser/index.html,False,True,False,https://web.archive.org/web/20120904155816id_/http://ikttips.skolbloggen.se:80/2011/03/01/tips-pa-digitala-resurser/,http://ikttips.skolbloggen.se/2011/03/01/tips-pa-digitala-resurser/,post_like,2011/03/01/tips-pa-digitala-resurser/index.html,
http://ikttips.skolbloggen.se/2011/03/01/tips-pa-digitala-resurser/feed/,feed,200,text/xml,20120615010043,http://ikttips.skolbloggen.se:80/2011/03/01/tips-pa-digitala-resurser/feed/,https://web.archive.org/web/20120615010043/http://ikttips.skolbloggen.se:80/2011/03/01/tips-pa-digitala-resurser/feed/,https://web.archive.org/web/20120615010043id_/http://ikttips.skolbloggen.se:80/2011/03/01/tips-pa-digitala-resurser/feed/,False,kind:feed,2011/03/01/tips-pa-digitala-resurser/feed/index.html,False,False,False,,,,,
http://ikttips.skolbloggen.se/2011/03/02/fler-tips-pa-digitala-resurser/,post_like,200,text/html,20120615012012,http://ikttips.skolbloggen.se:80/2011/03/02/fler-tips-pa-digitala-resurser/,https://web.archive.org/web/20120615012012/http://ikttips.skolbloggen.se:80/2011/03/02/fler-tips-pa-digitala-resurser/,https://web.archive.org/web/20120615012012id_/http://ikttips.skolbloggen.se:80/2011/03/02/fler-tips-pa-digitala-resurser/,True,html-content,2011/03/02/fler-tips-pa-digitala-resurser/index.html,False,True,False,https://web.archive.org/web/20120615012012id_/http://ikttips.skolbloggen.se:80/2011/03/02/fler-tips-pa-digitala-resurser/,http://ikttips.skolbloggen.se/2011/03/02/fler-tips-pa-digitala-resurser/,post_like,2011/03/02/fler-tips-pa-digitala-resurser/index.html,
http://ikttips.skolbloggen.se/2011/04/,other,200,text/html,20170924125910,http://ikttips.skolbloggen.se:80/2011/04/,https://web.archive.org/web/20170924125910/http://ikttips.skolbloggen.se:80/2011/04/,https://web.archive.org/web/20170924125910id_/http://ikttips.skolbloggen.se:80/2011/04/,True,html-content,2011/04/index.html,False,True,False,https://web.archive.org/web/20170924125910id_/http://ikttips.skolbloggen.se:80/2011/04/,http://ikttips.skolbloggen.se/2011/04/,other,2011/04/index.html,
http://ikttips.skolbloggen.se/2011/05/,other,200,text/html,20170924125623,http://ikttips.skolbloggen.se:80/2011/05/,https://web.archive.org/web/20170924125623/http://ikttips.skolbloggen.se:80/2011/05/,https://web.archive.org/web/20170924125623id_/http://ikttips.skolbloggen.se:80/2011/05/,True,html-content,2011/05/index.html,False,True,False,https://web.archive.org/web/20170924125623id_/http://ikttips.skolbloggen.se:80/2011/05/,http://ikttips.skolbloggen.se/2011/05/,other,2011/05/index.html,
http://ikttips.skolbloggen.se/2011/09/,other,200,text/html,20170924123607,http://ikttips.skolbloggen.se:80/2011/09/,https://web.archive.org/web/20170924123607/http://ikttips.skolbloggen.se:80/2011/09/,https://web.archive.org/web/20170924123607id_/http://ikttips.skolbloggen.se:80/2011/09/,True,html-content,2011/09/index.html,False,True,False,https://web.archive.org/web/20170924123607id_/http://ikttips.skolbloggen.se:80/2011/09/,http://ikttips.skolbloggen.se/2011/09/,other,2011/09/index.html,
http://ikttips.skolbloggen.se/2011/10/,other,200,text/html,20170924123613,http://ikttips.skolbloggen.se:80/2011/10/,https://web.archive.org/web/20170924123613/http://ikttips.skolbloggen.se:80/2011/10/,https://web.archive.org/web/20170924123613id_/http://ikttips.skolbloggen.se:80/2011/10/,True,html-content,2011/10/index.html,False,True,False,https://web.archive.org/web/20170924123613id_/http://ikttips.skolbloggen.se:80/2011/10/,http://ikttips.skolbloggen.se/2011/10/,other,2011/10/index.html,
