normalized_url,kind,first_timestamp,last_timestamp,capture_count,best_timestamp,best_original,best_statuscode,best_mimetype,best_wayback_url
http://cwastes.skolbloggen.se/,homepage,20100207113347,20181114111038,37,20180323180418,http://cwastes.skolbloggen.se/,200,text/html,https://web.archive.org/web/20180323180418/http://cwastes.skolbloggen.se/
http://cwastes.skolbloggen.se/2010/01/,other,20100222035706,20180422104651,9,20180220112402,http://cwastes.skolbloggen.se:80/2010/01/,200,text/html,https://web.archive.org/web/20180220112402/http://cwastes.skolbloggen.se:80/2010/01/
http://cwastes.skolbloggen.se/2010/01/14/en-digital-invandrare-tipsar/,post_like,20100222102950,20110325021152,2,20110325021152,http://cwastes.skolbloggen.se:80/2010/01/14/en-digital-invandrare-tipsar/,200,text/html,https://web.archive.org/web/20110325021152/http://cwastes.skolbloggen.se:80/2010/01/14/en-digital-invandrare-tipsar/
http://cwastes.skolbloggen.se/2010/01/22/hur-byter-man-avatar/,post_like,20130719055231,20130719055231,1,20130719055231,http://cwastes.skolbloggen.se:80/2010/01/22/hur-byter-man-avatar/,200,text/html,https://web.archive.org/web/20130719055231/http://cwastes.skolbloggen.se:80/2010/01/22/hur-byter-man-avatar/
http://cwastes.skolbloggen.se/2010/01/22/hur-man-byter-utseende-pa-sin-blogg/comment-page-1/,other,20100222053152,20100222053152,1,20100222053152,http://cwastes.skolbloggen.se:80/2010/01/22/hur-man-byter-utseende-pa-sin-blogg/comment-page-1/,200,text/html,https://web.archive.org/web/20100222053152/http://cwastes.skolbloggen.se:80/2010/01/22/hur-man-byter-utseende-pa-sin-blogg/comment-page-1/
http://cwastes.skolbloggen.se/2010/01/22/hur-man-gor-for-att-lagga-till-en-ny-anvandare-2,post_like,20130716045400,20130716045400,1,20130716045400,http://cwastes.skolbloggen.se:80/2010/01/22/hur-man-gor-for-att-lagga-till-en-ny-anvandare-2,301,text/html,https://web.archive.org/web/20130716045400/http://cwastes.skolbloggen.se:80/2010/01/22/hur-man-gor-for-att-lagga-till-en-ny-anvandare-2
http://cwastes.skolbloggen.se/2010/01/22/hur-man-gor-for-att-lagga-till-en-ny-anvandare-2/,post_like,20130716045400,20130716045400,1,20130716045400,http://cwastes.skolbloggen.se:80/2010/01/22/hur-man-gor-for-att-lagga-till-en-ny-anvandare-2/,200,text/html,https://web.archive.org/web/20130716045400/http://cwastes.skolbloggen.se:80/2010/01/22/hur-man-gor-for-att-lagga-till-en-ny-anvandare-2/
http://cwastes.skolbloggen.se/2010/01/22/test-youtube-klipp-i-ett-inlagg/,post_like,20130719040257,20130719040257,1,20130719040257,http://cwastes.skolbloggen.se:80/2010/01/22/test-youtube-klipp-i-ett-inlagg/,200,text/html,https://web.archive.org/web/20130719040257/http://cwastes.skolbloggen.se:80/2010/01/22/test-youtube-klipp-i-ett-inlagg/
http://cwastes.skolbloggen.se/2010/01/28/voddler/,post_like,20100222064248,20100222064248,1,20100222064248,http://cwastes.skolbloggen.se:80/2010/01/28/voddler/,200,text/html,https://web.archive.org/web/20100222064248/http://cwastes.skolbloggen.se:80/2010/01/28/voddler/
http://cwastes.skolbloggen.se/2010/01/31/samlarobjkt-eller-revirmarkering-for-unga-man/,post_like,20100222063650,20100222063650,1,20100222063650,http://cwastes.skolbloggen.se:80/2010/01/31/samlarobjkt-eller-revirmarkering-for-unga-man/,200,text/html,https://web.archive.org/web/20100222063650/http://cwastes.skolbloggen.se:80/2010/01/31/samlarobjkt-eller-revirmarkering-for-unga-man/
http://cwastes.skolbloggen.se/2010/01/31/vad-ar-vackert/,post_like,20100222064253,20100222064253,1,20100222064253,http://cwastes.skolbloggen.se:80/2010/01/31/vad-ar-vackert/,200,text/html,https://web.archive.org/web/20100222064253/http://cwastes.skolbloggen.se:80/2010/01/31/vad-ar-vackert/
http://cwastes.skolbloggen.se/2010/02/,other,20100222035709,20180420130524,9,20180217235726,http://cwastes.skolbloggen.se:80/2010/02/,200,text/html,https://web.archive.org/web/20180217235726/http://cwastes.skolbloggen.se:80/2010/02/
http://cwastes.skolbloggen.se/2010/02/05/gratisprogram/,post_like,20100208165309,20100410115453,2,20100410115453,http://cwastes.skolbloggen.se:80/2010/02/05/gratisprogram/,200,text/html,https://web.archive.org/web/20100410115453/http://cwastes.skolbloggen.se:80/2010/02/05/gratisprogram/
http://cwastes.skolbloggen.se/2010/02/05/gratisprogram/comment-page-1/,other,20100222053155,20100222053155,1,20100222053155,http://cwastes.skolbloggen.se:80/2010/02/05/gratisprogram/comment-page-1/,200,text/html,https://web.archive.org/web/20100222053155/http://cwastes.skolbloggen.se:80/2010/02/05/gratisprogram/comment-page-1/
http://cwastes.skolbloggen.se/2010/02/06/%E2%80%9Cone-for-one%E2%80%9D-%E2%80%93-om-inbaddad-givmildhet/,post_like,20100222053201,20100222053201,1,20100222053201,http://cwastes.skolbloggen.se:80/2010/02/06/%E2%80%9Cone-for-one%E2%80%9D-%E2%80%93-om-inbaddad-givmildhet/,200,text/html,https://web.archive.org/web/20100222053201/http://cwastes.skolbloggen.se:80/2010/02/06/%E2%80%9Cone-for-one%E2%80%9D-%E2%80%93-om-inbaddad-givmildhet/
http://cwastes.skolbloggen.se/2010/02/06/%E2%80%9Cone-for-one%E2%80%9D-%E2%80%93-om-inbaddad-givmildhet/comment-page-1/,other,20100222063655,20100223090344,2,20100223090344,http://cwastes.skolbloggen.se:80/2010/02/06/%E2%80%9Cone-for-one%E2%80%9D-%E2%80%93-om-inbaddad-givmildhet/comment-page-1/,200,text/html,https://web.archive.org/web/20100223090344/http://cwastes.skolbloggen.se:80/2010/02/06/%E2%80%9Cone-for-one%E2%80%9D-%E2%80%93-om-inbaddad-givmildhet/comment-page-1/
http://cwastes.skolbloggen.se/2010/02/07/ar-ny-teknik-farlig/,post_like,20100222053205,20100222053205,1,20100222053205,http://cwastes.skolbloggen.se:80/2010/02/07/ar-ny-teknik-farlig/,200,text/html,https://web.archive.org/web/20100222053205/http://cwastes.skolbloggen.se:80/2010/02/07/ar-ny-teknik-farlig/
http://cwastes.skolbloggen.se/2010/02/15/lar-dig-mer-om-trollen-pa-natet/,post_like,20100222035713,20100222035713,1,20100222035713,http://cwastes.skolbloggen.se:80/2010/02/15/lar-dig-mer-om-trollen-pa-natet/,200,text/html,https://web.archive.org/web/20100222035713/http://cwastes.skolbloggen.se:80/2010/02/15/lar-dig-mer-om-trollen-pa-natet/
http://cwastes.skolbloggen.se/2010/02/17/kanner-du-igen-affarsiden/,post_like,20100222035718,20100222035718,1,20100222035718,http://cwastes.skolbloggen.se:80/2010/02/17/kanner-du-igen-affarsiden/,200,text/html,https://web.archive.org/web/20100222035718/http://cwastes.skolbloggen.se:80/2010/02/17/kanner-du-igen-affarsiden/
